"CHEM_COMP_ID","DESCRIPTOR"
"4QE","DJXADPDNJXCWOH-UHFFFAOYSA-N"
"4H9","MDFWUVGMSOBSKJ-UHFFFAOYSA-N"
"BE4","YVNITSOLRPDTNX-JQFCFGFHSA-N"
"U3E","PXMDNOCHJZJAFM-UHFFFAOYSA-N"
"6HJ","KFYRXHYWURCCBT-CQSZACIVSA-N"
"S2Z","SQSDNOVLVOTMJE-GFCCVEGCSA-N"
"PP8","SGKZZKPYLILTJX-RLBRRGQKSA-N"
"TS6","RYYWUUFWQRZTIU-UHFFFAOYSA-N"
"2VQ","AVSMSXHPIYIKIJ-UHFFFAOYSA-N"
"96E","XJBJEDGBRSPREH-UHFFFAOYSA-N"
"PX8","YFWHNAWEOZTIPI-DIPNUNPCSA-M"
"IEN","ICLOLUJQHKQENN-UHFFFAOYSA-N"
"BMI","GLTRPHMPCVLOJS-UHFFFAOYSA-N"
"3E4","VMXTWHCDROGRNY-HZCBDIJESA-N"
"83K","YMHSWXIOFQGBAE-SDOACRIHSA-N"
"ZEN","ZLAKCKVFSRSENR-UHFFFAOYSA-N"
"RYH","FIHJPVBFFYAION-UHFFFAOYSA-N"
"6W1","OAZVHMYGOGQYLZ-GOSISDBHSA-N"
"3QN","PWEHKEQDPFXDSM-TVYFDWKESA-N"
"UIF","JILVZTUUGIPBMT-XQRKQDBVSA-N"
"SPB","FTXJWRRYLLRFMG-MDZDMXLPSA-N"
"GT8","NHSACZPZCKLMNP-WDDJKNHOSA-N"
"VQA","YGTFMMNUBBGVSN-LBRLCBGXSA-N"
"Q92","NVUDTXCAUAPCDL-UHFFFAOYSA-N"
"S0W","BBSLOKZINKEUCR-UHFFFAOYSA-N"
"HPU","MDYXMYBWSBAIMZ-UHFFFAOYSA-N"
"3HE","YPHMISFOHDHNIV-FSZOTQKASA-N"
"9IY","KYXDHJBRPDKXBZ-YCAMKHIRSA-N"
"1HO","OIFTUNMTFHXWBX-QGZVFWFLSA-N"
"TM1","OHPXFACYTRBVRA-DLHKNTDHSA-N"
"JTW","KLUHDZWPAPUVIW-UHFFFAOYSA-N"
"UQ2","SQQWBSBBCSFQGC-JLHYYAGUSA-N"
"1XD","YECCIJSXGJHBSG-UHFFFAOYSA-N"
"E2U","JTIZNTMOQMLDDF-UHFFFAOYSA-N"
"637","HPSAAEAALHAMSZ-ORAYEHMWSA-N"
"VWM","CKOGPKPHDCYLTR-MRVPVSSYSA-N"
"DK9","UWJJYHHHVWZFEP-UHFFFAOYSA-N"
"JXW","XOAPLONMSUKXAM-UHFFFAOYSA-N"
"PZP","CLOXDHRIVOURLQ-XNWCZRBMSA-N"
"15O","JTPNRXUCIXHOKM-UHFFFAOYSA-N"
"818","NOQNPBXNHMZMTC-UGTSZWOVSA-N"
"H2U","NBWDKGJHOHJBRJ-XVFCMESISA-N"
"M4K","DKPZCWNOVJTLGU-UHFFFAOYSA-N"
"FTJ","ABOOPXYCKNFDNJ-SNVBAGLBSA-N"
"88Y","WSWGBAXEVIRMAC-UHFFFAOYSA-N"
"NCE","PKCWQSROJQAQMV-UHFFFAOYSA-N"
"O47","FLPAOFVJMBOQGB-LSHDLFTRSA-N"
"JRH","FBBFRJDRDBTJFO-VOBMUHBHSA-N"
"5P7","CXHFBVLYDOBWST-STRQVWJDSA-N"
"5SD","RAJWOBJTTGJROA-WZNAKSSCSA-N"
"C1B","JCBJULMYEXYZRC-CQSZACIVSA-N"
"SRB","XDFLCBUAVBYWFW-AWEZNQCLSA-N"
"6KF","CZFKLVIECPDWLQ-SQQYMZSVSA-N"
"WVL","ACJIBDJXENOACA-RQJHMYQMSA-N"
"O86","SWNYGRWXDONBNB-UHFFFAOYSA-N"
"GME","ZGEYCCHDTIDZAE-BYPYZUCNSA-N"
"D52","AZOWZKANNHCUOJ-VIIZLGSKSA-N"
"RKH","BMBIGEJCNXQYPN-UHFFFAOYSA-N"
"S1O","ASNUGOSBOWLSJV-NSHDSACASA-N"
"DEL","DSYGIMVFFQCOQZ-KYYLAPRMSA-N"
"2YZ","RQCSQAIXIUJOJU-UHFFFAOYSA-N"
"F86","ZBHOHJWLOOFLMW-LTGWCKQJSA-N"
"XVS","GKYSQDWEWYGVFQ-GYLADCCPSA-N"
"OX5","IRHAIEVALGHVLW-NTEUORMPSA-N"
"7BJ","WWRSQXLLQVERHE-UHFFFAOYSA-N"
"PQW","MVLJJSCAHWVTFO-NZQKXSOJSA-N"
"TCY","JGNCWNRBYLPXHE-CZUHXBHISA-N"
"5AJ","QNDDYPVSXWRDOZ-QQRWZLOUSA-N"
"T99","ROYJKVPBJVNHCQ-CENJAJHPSA-N"
"TNB","HZVLUUGPGJKXHN-YFKPBYRVSA-N"
"JJI","MMEXOHZELNPTHF-MMPTUQATSA-N"
"GIU","DPOHKNPOBZVTBK-NSHDSACASA-N"
"99R","FVVCJWPWULZKFU-LBPRGKRZSA-N"
"PM3","SAQLLHDEEMZENJ-VIFPVBQESA-N"
"1X1","DLPDBBPTTGBGRX-UHFFFAOYSA-N"
"0CZ","ZFVMWEVVKGLCIJ-UHFFFAOYSA-N"
"39V","GCKVAOQLUKFJOV-BVZMXYCPSA-N"
"SYC","WVWCWWLEFNGDBC-UHFFFAOYSA-N"
"5H9","DFAPONQEYRMEDO-ROUUACIJSA-N"
"K0Q","NRCSONGNAATKNC-UHFFFAOYSA-N"
"WOV","BTNJQFIFTBDRAH-UHFFFAOYSA-N"
"HGR","LDTRVHIISSLXOQ-IIHALWDASA-N"
